hashtag_source,candidate_source,post_url,shortcode,media_id,date_utc,taken_at,caption_text,caption_word_count,hashtags_in_caption,mentions_in_caption,like_count,comment_count,view_count,media_type,product_type,location_name,account_hash
yogaretreat,top,https://www.instagram.com/yogavilleashram/reel/DOyiiQsDuY3/,DOyiiQsDuY3,3725191729751451191,2025-09-19T16:10:29+00:00,1758298229,"🪷 Compassion Practice - Nina Rao 🪷 From the Integral Yoga Podcast titled The Power of Spiritual Practice: Nina Rao on Chanting, Gurus, and Everyday Enlightenment | Ep. 136🪷 

Join Nina Rao, acclaimed kirtan artist and devotee in the lineage of Neem Karoli Baba, in this heartfelt conversation with host Avi Gordon at Yogaville. 

#ashram #yogaville #satchidanandaashram #yogaretreat #silentretreat",55,ashram;yogaville;satchidanandaashram;yogaretreat;silentretreat,,647,27,10315,2,clips,Satchidananda Ashram-Yogaville,513a0cfa1935fcc5
yogaretreat,top,https://www.instagram.com/gut.christianstal/p/DZu2A1YNVcn/,DZu2A1YNVcn,3922309877312345895,2026-06-18T18:00:06+00:00,1781805606,"In den vergangenen Wochen ist einiges in Christianstal passiert, und wir waren mit einigen Projekten nebenher sowie den alltäglichen Veränderungen auf dem Gut voll eingespannt. Vieles haben wir bereits geschafft, sodass wir uns nun wieder den schönen Dingen widmen können – den Weiterentwicklungen im Gutshaus und auf dem Gelände. Im Wintergarten wurde bereits gestrichen, und auch die Palmen sind inzwischen eingezogen.

Freut euch auf kommende Einblicke!

Over the past few weeks, quite a lot has been happening in Christianstal, and we’ve been fully occupied with various projects on the side as well as the everyday changes around the estate. We’ve already achieved a great deal, allowing us to focus once again on the more enjoyable aspects – the ongoing developments in the manor house and across the grounds.

The winter garden has already been painted, and the palm trees have also moved in.

Stay tuned for more glimpses to come!

#retreat#ostsee#landleben#schleswigholstein#eventlocation",160,retreat;ostsee;landleben;schleswigholstein;eventlocation,,60,5,,1,feed,"Christianstal, Schleswig-Holstein, Germany",c56b2c189002c7fa
yogaretreat,top,https://www.instagram.com/flowstrongerretreats/reel/DZxhjr2zfa7/,DZxhjr2zfa7,3923064338223331003,2026-06-19T16:16:21+00:00,1781885781,"a sweet pov to once again say how grateful we are  to have you in our little Flow Stronger Fam✨💗

Our paradise retreat in Nica awaits! Who’s ready to run with us right into the ocean!?

Charley & Diane are so excited to have you here with us to grow and travel together! Every step along our journey, and piece of our puzzle, was crafted with love and intention. We are so excited that our journey together will be starting in Nica, it feels so right landing @stillsaltyescape (yes we are already dreaming of the giant hammock)!
From us to you, a big giant thanks again for being here, we love you and can’t wait to travel the world together💚
• 
•
•
#retreat #yogaretreat #yoga #strength #vacation",128,retreat;yogaretreat;yoga;strength;vacation,stillsaltyescape,9,1,195,2,clips,Still Salty Escape,8ab6b037e0b0d481
yogaretreat,top,https://www.instagram.com/claudiaariasyoga/p/DTYJLYzDZ2F/,DTYJLYzDZ2F,3807833849900932485,2026-01-11T16:33:09+00:00,1768149189,"17h de la tarde. Llego a casa después de un fin de semana maravilloso. Con el cuerpo lleno de agujetas y los ojos llenos de lágrimas. ¿Y qué bonito es terminar un intensivo compartiendo sensaciones mientras comemos un rrriquííísimo chocolate? 🫠😍

Intensivo Dharma Girona — como siempre, un placer enorme. Gracias por vuestra entrega, ganas, respeto, motivación y presencia.

Mi próximo intensivo será sentada con las piernas cruzadas, agenda abierta y boli en mano. Lista para cerrar fechas de los próximos 💥 intensivos, eventos y retiros.
¿Sugerencias? ¿Ciudades? ¿Lugares?

Empiezo a salir de este “mood vacaciones” profundo en el que estaba y tengo MUCHAS ganas de venir a conoceros y compartir esta preciosa filosofía que tan bien nos hace a todos 🤎

#dharmayoga #yogaretreat #yogapractice #yogalifestyle",130,dharmayoga;yogaretreat;yogapractice;yogalifestyle,,672,44,,8,carousel_container,Girona,b1db95aceb3e4173
yogaretreat,top,https://www.instagram.com/thenamastethai/reel/DTF9y06Cf1j/,DTF9y06Cf1j,3802717234003574115,2026-01-04T15:10:26+00:00,1767539426,"Nic nie dzieje się przypadkiem 💫✨

#yogaretreat #tajlandia #huahin #podróże #mindset #mindfulness",13,yogaretreat;tajlandia;huahin;podróże;mindset;mindfulness,,889,10,32189,2,clips,Polska,e2b5268c278188a2
yogaretreat,recent;top,https://www.instagram.com/school.of.sacred.life/p/DZxLFqiDFiG/,DZxLFqiDFiG,3922965518193809542,2026-06-19T12:59:14+00:00,1781873954,"✨ Mange, Prie, Ose 2026 ✨
Retraite de Yoga, avec Marie-Pierre Gay
du 20 au 23 août 2026,
à La Ciotat (13)

✨ Une parenthèse apaisante & régénérante entre ciel & mer ✨

Un espace pour ralentir, respirer, vous reconnecter à votre corps, à votre cœur, à l’essentiel.

Un séjour pour nourrir le corps, apaiser l’esprit et se relier à son âme.

✨✨✨

✨ Eat, Pray, Dare 2026 ✨
Yoga Retreat with Marie-Pierre Gay
From August 20 to 23, 2026,
in La Ciotat (13)

✨ A soothing & regenerative pause between sky & sea ✨

A space to slow down, breathe, and reconnect with your body, your heart, and what truly matters.

A retreat to nourish the body, calm the mind, and reconnect with your soul.

✨✨✨

🌺 Programme

Chaque journée sera rythmée par :
🌞 Yoga matin et soir (doux, profond, revitalisant)
✍️ Ateliers créatifs & journaling (écriture introspective)
💆‍♀️ Auto-massages & danse intuitive
🤍 Temps de silence et d’intégration
🥗 Repas sains, gourmands et préparés ensemble avec des produits locaux
🌅 Pratiques à la mer
🔥 Soirées autour du feu & rituels pour se régénérer

Un espace intime et bienveillant pour se déposer, se retrouver et se transformer en douceur.

✨✨✨

👉 La suite en commentaire / More in the comments

✨✨✨

📷 @maeva.heldt - Extraits de la retraite Mange Prie Ose 2025 💖

#yoga #yogaretreat #tantra #alchemyoflife #healing",224,yoga;yogaretreat;tantra;alchemyoflife;healing,maeva.heldt,27,3,,8,carousel_container,,937a08564468b656
yogaretreat,recent;top,https://www.instagram.com/samadhiandsalutations/p/DZwsYRryWBN/,DZwsYRryWBN,3922830457741860941,2026-06-19T08:30:57+00:00,1781857857,"Dear BEAUTIES.. RETREAT Day 1 ✨🌹🙏

Today we arrived as strangers, carrying the weight of everyday life. As the day unfolded, something beautiful began to happen. Shoulders softened. Breaths deepened. Hearts started to open.

There is something so special about stepping away from the noise and giving yourself permission to simply be.

Today we slowed down. We moved gently. We breathed deeply. We shared stories. We laughed. We rested. We remembered what it feels like to come home to ourselves.

This is only the beginning.

Grateful for every beautiful soul who said yes to this journey. I can't wait to see what unfolds over the coming days ❣️

Big LOVE ~ P ~ 
#RetreatLife #BreatheAndBelong #SlowDown #YogaRetreat #MagicHappens",116,retreatlife;breatheandbelong;slowdown;yogaretreat;magichappens,,6,2,,1,feed,,e0e551c7acb279e6
yogaretreat,recent;top,https://www.instagram.com/rachelewingyoga/p/DZxR1e6NDEB/,DZxR1e6NDEB,3922995192528122113,2026-06-19T13:58:13+00:00,1781877493,"Thank you to @luciayogacom and to all the beautiful shining souls who travelled from so many different parts of the world to dive deep into yoga! 
I will cherish the memory of our time together and think of you all with such love and gratitude 🙏
#luciayogacom #yogaretreat #yogaretreatinspain #yogaandhiking #yogainthemountains",50,luciayogacom;yogaretreat;yogaretreatinspain;yogaandhiking;yogainthemountains,luciayogacom,15,8,,1,feed,,f097fce983937d3c
yogaretreat,top,https://www.instagram.com/yogainspiration.ch/reel/DZxGpWONQSG/,DZxGpWONQSG,3922945980054701190,2026-06-19T12:21:17+00:00,1781871677,"Hast du schon mal vom „Blue Mind“-Effekt gehört? 
Die Wissenschaft zeigt: Wenn wir am, im oder unter Wasser sind, schaltet unser Gehirn automatisch in einen Zustand tiefer Ruhe. Stresshormone sinken, die Kreativität steigt und der Geist wird still.
Für mich ist Yoga und Element Wasser die perfekte Kombination: 

Die Bewegung des Wassers unterstützt den Atemrhythmus, die Tiefe des Wassers beruhigt die Gedanken und die Farbe blau bringt sofortige Klarheit im Kopf. 
Pure mentale Gesundheit auf der Matte! 

Ich freue mich, wenn du Teil einer meiner nächsten Yoga Retreats wirst. Hab einen relaxten Tag!

Claudia Eva Reinig 🧘🏽‍♀️✨

#YogaRetreat #MentaleGesundheit #BlueMind #Achtsamkeit #Meditation",107,yogaretreat;mentalegesundheit;bluemind;achtsamkeit;meditation,,17,3,190,2,clips,,870860a15560c79f
yogaretreat,recent;top,https://www.instagram.com/best_moroccan_holiday/p/DZxMjamjQop/,DZxMjamjQop,3922971960720296489,2026-06-19T13:12:02+00:00,1781874722,"Looking to host a yoga retreat in a private Villa just outside Marrakech with 7 rooms to share, an indoor place to practise, swimmingpool, huge garden, a private chef and last but not least, a tour that will let you discover Marrakech and its surroundings in your free time? 

Peace of mind, awesome private tours, relax, fantastic food, great weather, ""me time "" ... how does it sound? 

Comment below "" VILLA""  or drop us a Dm to know about availability, costs and itinerary of your dreams ✨️

Marrakech is waiting to welcome you 🇲🇦

*
*
*

#yogaretreat
#yogateacher
#yogaınspiration
#yogalocation
#yogaeverywhere",96,yogaretreat;yogateacher;yogaınspiration;yogalocation;yogaeverywhere,,12,3,,8,carousel_container,"Marrakech, Morocco",bc7456412ed0e4b9
yogaretreat,top,https://www.instagram.com/smile.withsamantha/reel/DZwiDjdsidg/,DZwiDjdsidg,3922785053258688352,2026-06-19T07:00:00+00:00,1781852400,"Yay! I’ve dreamed of sharing an experience like this for years ✶

This October, I’ll be hosting a small Yoga & Qigong retreat in the beautiful Andalusian countryside of southern Spain.
A few days to slow down.
To step away from the demands of daily life.
To move, breathe, rest, laugh, enjoy delicious food, soak up the sunshine, and reconnect with yourself.

If you’ve been feeling stressed, overwhelmed, exhausted, or simply in need of some space to recharge, this retreat is an invitation to pause and be supported.
We’ll practise gentle Yoga, Qigong, meditation, and mindful movement, with plenty of time to relax, enjoy nature, and simply be.

I can’t wait to share this beautiful place and experience with a small group of wonderful people ❤︎

➡ Andalusia, Spain @finca_maran_solano_andalusie  ☯︎ 25–29 October 2026 ☻ Max. 6 participants
Questions? Send me a message or visit the link in my bio.

#QigongRetreat #YogaRetreat #WellnessRetreat #StressRelief #SlowLiving",156,qigongretreat;yogaretreat;wellnessretreat;stressrelief;slowliving,finca_maran_solano_andalusie,17,4,315,2,clips,,3bf111c56e4a6ff8
yogaretreat,top,https://www.instagram.com/haum.space/p/DZKKyl_kWbg/,DZKKyl_kWbg,3911986683558586080,2026-06-04T09:26:15+00:00,1780565175,"A week on retreat does something no home practice can ever get close to.

Perhaps you’ve been on retreat before and you’re ready to go back.

Maybe you’ve never been and you’ve been wondering what it would feel like to completely drop all your responsibilities of life for an entire week.

If you’re moving through a big season of change and you need somewhere to land.

If you’re craving real connection, a new culture, an adventure that also gives you rest.

Or if you simply need a midwinter escape that actually fills you back up.

This retreat is here for you.

A beautiful group is forming for Koh Samui this July and our final spaces remain.

We’ve reopened the early bird for just a few more days - 10% off for those who move quickly...

Comment ISLAND and we’ll send you everything 🌴

Island Rhythm · Koh Samui, Thailand · July 26 - August 1 2026

#yogaretreat #kohsamuiyoga #islandretreat",154,yogaretreat;kohsamuiyoga;islandretreat,,699,8,,8,carousel_container,"Koh Samui, Thailand",4723d482c82d7ed1
yogaretreat,top,https://www.instagram.com/kinoyoga/reel/DOYddhzjDTU/,DOYddhzjDTU,3717851064906298580,2025-09-09T12:55:36+00:00,1757422536,"What are the Bandhas?

In Sanskrit, bandha comes from the root bandh — to bind, to hold, to gather. They are often called “locks,” but more than physical contractions, they are gateways that channel prāṇa, the vital force, toward awakening.

There are three main bandhas:

Mūla Bandha — the root lock (mūla = root), a subtle lift at the pelvic floor that steadies energy at its source.

Uḍḍīyāna Bandha — the flying upward lock (ud = upward, ḍī = to fly), an abdominal lift after exhalation that sends energy soaring like a bird in flight.

 Jālandhara Bandha — the throat lock (jāla = net, dhara = holding), a gentle lowering of the chin that creates a subtle net guiding prāṇan inward.

When practiced together, they form Mahā Bandha — the Great Lock.

At first the bandhas feel physical, but over time they reveal themselves as energetic openings, guiding practice from the outer body into the subtle realm. Always learn them gently, and under the guidance of a skilled teacher. Ultimately, the bandhas are less about “locking” than about releasing—freeing the practitioner into the vast, flowing energy of yoga.

This video was filmed with @kinoyoga and @timfeldmannyoga in beautiful Bali.

We’re returning to @radiantlyalive.ubud  for an immersive 2-week, 50-hour Ashtanga Yoga
training, and early bird pricing is available now.
Each morning begins with Mysore-style or guided practice. Afternoons are devoted to exploring movement principles, technique, and alignment.

Week One focuses on foundational elements-asana, anatomy, and alignment.

Week Two dives into the more subtle aspects of practice-breathwork, meditation, and the deeper teachings of yoga.

March 3-15, 2026
Radiantly Alive, Ubud, Bali

This is a unique opportunity to deepen your practice in a magical setting. This video was filmed in beautiful Bali.

Early bird ends October 7-secure your spot now.

Register here: https://www.radiantlyalive.com/50hr-ashtanga-
training-bali-kino-tim-2026

#bali #kinoyoga #baliyoga #yogabali #bakasana #yogatutorial #ashtangayoga #yoga #yogaworkshop #ashtanga #ashtangi #yogaretreat #kinoandtim #yogaworkshop #yogateacher #yogatraining #omstars #bandha
💕",320,bali;kinoyoga;baliyoga;yogabali;bakasana;yogatutorial;ashtangayoga;yoga;yogaworkshop;ashtanga;ashtangi;yogaretreat;kinoandtim;yogaworkshop;yogateacher;yogatraining;omstars;bandha,kinoyoga;timfeldmannyoga;radiantlyalive.ubud,1161,36,29604,2,clips,"Bali, Indonesia",c04fa01d882ce55a
yogaretreat,top,https://www.instagram.com/studio.airi/p/DUavwNagqEN/,DUavwNagqEN,3826580854528975117,2026-02-06T13:20:06+00:00,1770384006,"Recently someone asked me: “ what’s the point of doing these fancy poses? Is it just to show off?”

Well…for some-possibly. But that doesn’t change the fact that they had to spend lots and lots of hours practicing to get to a place to do these poses. 

There’s a way deeper reason for it though. 

My Iyengar teacher once told me : “ in yoga-every pose is magic”. 

And that simple sentence made me understand the purpose of asanas (poses) in a whole new level. 

Each pose works with different physical, mental and  energetic aspects of us. Learning more about”advanced” poses is a humbling journey. Building strength, trust and confidence. 

I’ve been practicing asanas for 10 years, nearly every day. There is still more poses that i CAN’T do than the ones I can. And most of them i’ll never be able to do because my bone structure simply doesn’t allow me. 

Yet still I keep 1 or 2 poses that i’m working towards, regularly. Because the attempt to be better, is what makes me better. 

#yogajourney#yoga#yogaretreat#yogateacher#yogapose",180,yogajourney;yoga;yogaretreat;yogateacher;yogapose,,279,20,,8,carousel_container,Iceland,ff4ab531ec7ab629
yogaretreat,top,https://www.instagram.com/lauralawtonhf/p/DZr2Jx-Dd2k/,DZr2Jx-Dd2k,3921466067197484452,2026-06-17T11:20:05+00:00,1781695205,"This time last week I was in paradise. 🥰 Here are my Zakynthos Yoga Retreat photos, part 1. ❤️ These pictures just do not do it justice. It was incredible! 👌🏻 Thankyou SO much @zoemarkosthresher @zmt__retreats Not only are you a beautiful person in every way you are so talented in your own practice, your teaching, your delivery, your sharing, your generosity and your attention to detail in every respect of the retreat from start to finish. Cannot thank you enough. ❤️❤️❤️ xxx #yogaretreat #greece #gratitude #simplyparadise",86,yogaretreat;greece;gratitude;simplyparadise,zoemarkosthresher;zmt__retreats,23,9,,8,carousel_container,"Zákynthos, Zakinthos, Greece",61cd61ef05d92e45
yogaretreat,recent;top,https://www.instagram.com/lizhuntlyjensch/p/DZw_jUoxXpH/,DZw_jUoxXpH,3922914779710454343,2026-06-19T11:25:49+00:00,1781868349,"Last call: summer solstice retreat kicks off tomorrow. This is one of my most favourite ways to gather in + revel in the sweet country air. Still spots left if you wanna hop in last minute! But also it’s kinda ok if you’re missing it because barn yoga continues all summer long @commongroundsummerstudio 

Retreat details + class schedule + all the good things at www.commongroundsummerstudio.com

#yoga #summersolstice #yogaretreat #InFrontenac #ygk",69,yoga;summersolstice;yogaretreat;infrontenac;ygk,commongroundsummerstudio,13,4,,1,feed,,d3e2d9ac549ee794
yogaretreat,top,https://www.instagram.com/patrickcreelman/reel/DPubVY6DN4d/,DPubVY6DN4d,3742048557499997725,2025-10-12T22:10:38+00:00,1760307038,"Eka Pada Rajakapotasana I 

.
.
Upcoming events: 

1) wildlōtus presents the Foundation Training Part 2 in Hong Kong, 25 October - 6 November 2025 (registration now open);

2) wildlōtus Yunnan retreat in Shangri-la China, 11-16 November 2025 (registration now open);

3) wildlōtus presents: The Foundation with Patrick Creelman in Singapore, commencing 21 November 2025 (registration now open).

.
.
.
#yogaretreat #yogatips #yogaforall #yogateacher #yogateachertraining #yogacet #ytt200 #ytt300 #yogateacher #yogainspiration #yogatutorial #yogatips #yogateacherlife #yogahongkong #yogasingapore #pureyoga #pureyogahk #pureyogasg #pureyogaofficial #pureyogasingapore #pureyogahongkong #puglia #yoga #wildlotus #ekapadarajakapotasana #backbend #alignment",82,yogaretreat;yogatips;yogaforall;yogateacher;yogateachertraining;yogacet;ytt200;ytt300;yogateacher;yogainspiration;yogatutorial;yogatips;yogateacherlife;yogahongkong;yogasingapore;pureyoga;pureyogahk;pureyogasg;pureyogaofficial;pureyogasingapore;pureyogahongkong;puglia;yoga;wildlotus;ekapadarajakapotasana;backbend;alignment,,4151,48,199310,2,clips,,9368ef54383e0a54
yogaretreat,top,https://www.instagram.com/nila_collective/reel/DZwZCoGt6JA/,DZwZCoGt6JA,3922745407103803968,2026-06-19T05:43:01+00:00,1781847781,"Coming soon💫 

#yoga#mindfulness #yogaretreat #yogainspiration",6,yoga;mindfulness;yogaretreat;yogainspiration,,7,6,285,2,clips,"Istanbul, Turkey",fbe48d6e429c5cf5
yogaretreat,top,https://www.instagram.com/sowkhyam.wellness/reel/DZxIfHcB1gs/,DZxIfHcB1gs,3922954073078716460,2026-06-19T12:37:18+00:00,1781872638,"""From an anti-retreat person to a retreat enthusiast!"" 💛

Nothing makes us happier than hearing experiences like this from Rashmi.

From sound healing and life-reflection exercises to yoga amidst the mountains, every session was designed to help participants reconnect with themselves in meaningful ways. 🌿⛰️

""Not once did I feel like I was losing my freedom. Every experience felt enriching, meaningful, and completely new.""

A heartfelt thank you for your kind words and for trusting the process. We're grateful to have shared this journey with you and thrilled to know you'll be joining us again.

Here's to more growth, connection, healing, and unforgettable moments together. ✨

And the journey continues, our next retreat is just around the corner, and we can't wait to welcome more beautiful souls into this transformative experience. 💫

✨ Inspired by stories like Rashmi's, we look forward to welcoming more beautiful souls to our upcoming Sowkhyam Retreat in Leh–Ladakh (20th–27th August 2026).

Seven days of healing, connection, adventure, and inner transformation await amidst the majestic Himalayas. 

We would love for you to be part of this journey. 💛

#sowkhyamretreats #mindbodysoul #mountainretreat #soundhealingtherapy #yogaretreat",184,sowkhyamretreats;mindbodysoul;mountainretreat;soundhealingtherapy;yogaretreat,,34,5,718,2,clips,,4a51c5c3e9a1fb1d
